mother_tongue,token_count,type_count,ttr,root_ttr,maas,hdd,mtld,mtld_ma_wrap,msttr_50,sent_count,sent_len_mean,sent_len_median,sent_len_std,sent_len_min,sent_len_max,laughter,filled_pause,thanks,question_marks
en,475,419,0.904522032873841,2.1377118830852035,0.0,0.9081283960069301,14.19960435662702,0.0,0.0,84,7.614583333333333,7.375,1.1273413797539535,6.546875,8.953125,0,6,0,16
es,14905,10812,0.85826504253985,3.3177778966546625,0.0,0.8889832091709376,29.4074077785486,0.0,0.10275939177101968,993,16.223749129287686,15.673524150268337,3.98623268390354,12.198568872987478,21.518783542039355,36,63,5,207
fr,3808,2920,0.8652521568306173,2.3988898706507658,0.0,0.9081886458567564,17.074408786643687,0.0,0.04274914089347079,451,8.719786723394972,8.481099656357388,2.2118086606190106,6.5395189003436425,11.59106529209622,19,45,1,84
it,18580,13517,0.8551506201366332,3.2049760628454296,0.0,0.8882813201948986,26.09306191048816,0.0,0.11145956873315364,1438,13.96340739598826,13.369272237196766,3.62271787922938,10.283018867924529,18.76145552560647,26,230,8,206
mk,459,354,0.8267339884650745,5.262966912972342,0.0,0.8694295176101954,66.80104285026958,0.0,0.2733333333333333,11,44.27777777777778,44.27777777777778,3.7222222222222223,40.55555555555556,48.0,4,17,1,6
nl,8149,6417,0.8977832695649507,2.510108025575828,0.0,0.9181220338904891,15.938806898032562,0.0,0.02829754601226994,1047,9.21348719446879,9.06058282208589,1.7633889616384475,7.383435582822086,11.291411042944786,13,213,11,128
ro,535,420,0.8776291453270858,3.0468345281577274,0.0,0.8936512926840391,25.455899378716882,0.0,0.07200000000000001,72,9.345555555555556,8.566666666666666,3.5929580984843352,5.966666666666667,14.1,0,15,3,17
sl,33917,24945,0.8699983894966193,2.9654391322706966,0.0,0.9022192204302675,23.606282509761098,0.0,0.09644381073088297,2783,12.761561695592112,12.263941698352344,3.4649626080954787,9.225602027883397,17.26045627376426,45,434,21,659
sr,376,314,0.9097413850356938,2.6867620544505826,0.0,0.9392707240238185,18.976228951571184,0.0,0.027142857142857142,39,9.574404761904761,9.642857142857142,1.4423738654435343,7.964285714285714,11.142857142857142,0,0,3,1
